,Reference,Name,Pronunciation,Image_Reference,Length,Type,Diet,Period,Area,Taxonomy,Named_By,Species,Teeth,Food,Movement
20,https://www.nhm.ac.uk/discover/dino-directory/anchisaurus.html,Anchisaurus,ANK-ee-sore-us,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/anchi.jpg,2.0m,sauropod,herbivorous,"Early Jurassic, 190 million years ago","Portugal,USA","Dinosauria, Saurischia, Sauropodomorpha, Prosauropoda, Anchisauria, Anchisauridae",Marsh (1885),polyzelous,,,
21,https://www.nhm.ac.uk/discover/dino-directory/ankylosaurus.html,Ankylosaurus,an-KIE-loh-sore-us,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/ankyl.jpg,7.0m,armoured dinosaur,herbivorous,"Late Cretaceous, 74-67 million years ago","Canada,USA","Dinosauria, Ornithischia, Genasauria, Thyreophora, Ankylosauromorpha, Ankylosauria, Ankylosauridae",Brown (1908),magniventris,grinding teeth with a horny beak at the front,plant material,on 4 legs
22,https://www.nhm.ac.uk/discover/dino-directory/anserimimus.html,Anserimimus,ANN-ser-ih-mee-muss,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/anseri.jpg,3.5m,large theropod,carnivorous,"Late Cretaceous, 84-65 million years ago","Canada,USA","Dinosauria, Saurischia, Theropoda, Neotheropoda, Tetanurae, Avetheropoda, Coelurosauria, Tyrannoraptora, Maniraptoriformes, Ornithomimosauria, Ornithomimidae",Barsbold (1988),planinychus,,,
23,https://www.nhm.ac.uk/discover/dino-directory/antarctosaurus.html,Antarctosaurus,Ant-ARK-toe-sore-us,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/antarcto.jpg,18.0m,sauropod,herbivorous,"Late Cretaceous, 84-65 million years ago","Canada,USA","Dinosauria, Saurischia, Sauropodomorpha, Sauropoda, Eusauropoda, Neosauropoda, Macronaria, Camarasauromorpha, Titanosauriformes, Titanosauria, Lithostrotia",von Huene (1929),wichmannianus,,,
24,https://www.nhm.ac.uk/discover/dino-directory/apatosaurus.html,Apatosaurus,ah-PAT-oh-sore-us,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Apatosaurus.jpg,21.0m,sauropod,herbivorous,"Late Jurassic, 154-145 million years ago","Canada,USA","Dinosauria, Saurischia, Sauropodomorpha, Sauropoda, Eusauropoda, Neosauropoda, Diplodocoidea, Diplodocidae",Marsh (1877),ajax,,,
25,https://www.nhm.ac.uk/discover/dino-directory/aragosaurus.html,Aragosaurus,ahr-ah-go-sore-us,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Aragosaurus.jpg,18.0m,sauropod,herbivorous,"Early Cretaceous, 132-121 million years ago","Canada,USA","Dinosauria, Saurischia, Sauropodomorpha, Sauropoda, Eusauropoda","Sanz, Buscalioni, Casanovas and Sanaf̩ (1987)",ischiadicus,,,
26,https://www.nhm.ac.uk/discover/dino-directory/aralosaurus.html,Aralosaurus,ar-al-oh-sore-us,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Aralosaurus.jpg,8.0m,euornithopod,herbivorous,"Late Cretaceous, 94-84 million years ago","Canada,USA","Dinosauria, Ornithischia, Genasauria, Cerapoda, Ornithopoda, Euornithopoda, Iguanadontia, Euiguanadontia, Dryomorpha, Ankylopollexia, Iguanodontoidea, Hadrosauridae, Euhadrosauria, Hadrosaurinae",Rozhdestvensky (1968),tuberiferus,,,
27,https://www.nhm.ac.uk/discover/dino-directory/archaeoceratops.html,Archaeoceratops,ahr-kee-oh-serra-tops,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Archaeoceratops.jpg,1.3m,ceratopsian,herbivorous,"Early Cretaceous, 121-99 million years ago","Canada,USA","Dinosauria, Ornithischia, Genasauria, Cerapoda, Marginocephalia, Ceratopsia, Neoceratopsia",Dong and Azuma (1987),oshimai,,,
28,https://www.nhm.ac.uk/discover/dino-directory/archaeopteryx.html,Archaeopteryx,ark-ee-OPT-er-ix,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/archaeo.jpg,0.5m,small theropod,carnivorous,"Late Jurassic, 147 million years ago",Germany,"Dinosauria, Saurischia, Theropoda, Neotheropoda, Tetanurae, Avetheropoda, Coelurosauria, Tyrannoraptora, Maniraptoriformes, Maniraptora, Paraves, Eumaniraptoria, Avialae, Archaeopterygidae",Mayer (1861),lithographica,many small conical (cone-like) teeth in the upper jaw,"may have eaten small reptiles, mammals or insects",on 2 legs and by flying
29,https://www.nhm.ac.uk/discover/dino-directory/archaeornithomimus.html,Archaeornithomimus,Ark-ee-orn-ith-oh-meem-us,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/archaeorn.jpg,3.5m,small theropod,carnivorous,"Late Cretaceous, 95-70 million years ago",Germany,"Dinosauria, Saurischia, Theropoda, Neotheropoda, Tetanurae, Avetheropoda, Coelurosauria, Tyrannoraptora, Maniraptoriformes, Ornithomimosauria, Ornithomimidae",Russell (1972),asiaticus,,,
30,https://www.nhm.ac.uk/discover/dino-directory/argentinosaurus.html,Argentinosaurus,AR-gent-eeno-sore-us,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/argent.jpg,35.0m,sauropod,herbivorous,"Late Cretaceous, 90 million years ago",Argentina,"Dinosauria, Saurischia, Sauropodomorpha, Sauropoda, Eusauropoda, Neosauropoda, Macronaria, Camarasauromorpha, Titanosauriformes, Titanosauria",Bonaparte and Coria (1993),huinculensis,teeth for grinding and chewing,tough plant material,on 4 legs
31,https://www.nhm.ac.uk/discover/dino-directory/arrhinoceratops.html,Arrhinoceratops,ay-rine-oh-ker-ah-tops,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Arrhinoceratops.jpg,6.0m,ceratopsian,herbivorous,"Late Cretaceous, 72-67 million years ago",Argentina,"Dinosauria, Ornithischia, Genasauria, Cerapoda, Marginocephalia, Ceratopsia, Neoceratopsia, Coronosauria, Ceratopsidae, Chasmosaurinae",Parks (1925),brachyops,,,
32,https://www.nhm.ac.uk/discover/dino-directory/atlascopcosaurus.html,Atlascopcosaurus,Atlass-KOP-KO-sore-us,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Atlascopcosaurus.jpg,3.0m,euornithopod,herbivorous,"Early Cretaceous, 121-97 million years ago",Argentina,"Dinosauria, Ornithischia, Genasauria, Cerapoda, Ornithopoda, Euornithopoda",Rich and Rich (1989),loadsi,,,
