,Reference,Name,Pronunciation,Image_Reference,Length,Type,Diet,Period,Area,Taxonomy,Named_By,Species,Teeth,Food,Movement,period_group,period_specific
113,https://www.nhm.ac.uk/discover/dino-directory/gastonia.html,Gastonia,gas-toh-nee-ah,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Gastonia.jpg,4.6m,armoured dinosaur,herbivorous,"Early Cretaceous, 142-127 million years ago","Canada,USA","Dinosauria, Ornithischia, Genasauria, Thyreophora, Ankylosauromorpha, Ankylosauria",Kirkland (1998),burgei,,,,Early Cretaceous, 142-127 million years ago
114,https://www.nhm.ac.uk/discover/dino-directory/giganotosaurus.html,Giganotosaurus,gig-an-OH-toe-SORE-us,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/giganoto.jpg,12.5m,large theropod,carnivorous,"Early Cretaceous, 112-90 million years ago",Argentina,"Dinosauria, Saurischia, Theropoda, Neotheropoda, Tetanurae, Avetheropoda, Carnosauria, Allosauroidea, Carcharodontosauridae",Coria and Salgado (1995),carolinii,"long, blade-like and serrated - ideal for slicing",other animals,on 2 legs,Early Cretaceous, 112-90 million years ago
115,https://www.nhm.ac.uk/discover/dino-directory/gilmoreosaurus.html,Gilmoreosaurus,GIL-more-oh-SORE-us,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/gilmore.jpg,6.0m,euornithopod,herbivorous,"Late Cretaceous, 76-70 million years ago",Argentina,"Dinosauria, Ornithischia, Genasauria, Cerapoda, Ornithopoda, Euornithopoda, Iguanadontia, Euiguanadontia, Dryomorpha, Ankylopollexia, Iguanodontoidea, Hadrosauridae",Brett-Surman (1979),mongoliensis,,,,Late Cretaceous, 76-70 million years ago
116,https://www.nhm.ac.uk/discover/dino-directory/giraffatitan.html,Giraffatitan,ji-raf-a-tie-tan,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Giraffatitan.jpg,23.0m,sauropod,herbivorous,"Late Jurassic, 154-142 million years ago",Argentina,"Dinosauria, Saurischia, Sauropodomorpha, Sauropoda, Eusauropoda, Neosauropoda, Macronaria, Camarasauromorpha, Titanosauriformes, Brachiosauridae",Janensch (1914),brancai,,,,Late Jurassic, 154-142 million years ago
117,https://www.nhm.ac.uk/discover/dino-directory/gobisaurus.html,Gobisaurus,goh-bee-sore-us,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Gobisaurus.jpg,5.0m,armoured dinosaur,herbivorous,"Early Cretaceous, 121-99 million years ago",Argentina,"Dinosauria, Ornithischia, Genasauria, Thyreophora, Ankylosauromorpha, Ankylosauria, Ankylosauridae","Vickaryous, Russell, Currie and Zhao (2001)",domoculus,,,,Early Cretaceous, 121-99 million years ago
118,https://www.nhm.ac.uk/discover/dino-directory/gorgosaurus.html,Gorgosaurus,gor-goh-sore-us,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Gorgosaurus.jpg,8.6m,large theropod,carnivorous,"Late Cretaceous, 80-73 million years ago",Argentina,"Dinosauria, Saurischia, Theropoda, Neotheropoda, Tetanurae, Avetheropoda, Coelurosauria, Tyrannoraptora, Tyrannosauroidea, Tyrannosauridae, Albertosaurinae",Lamb (1914),libratus,,,,Late Cretaceous, 80-73 million years ago
119,https://www.nhm.ac.uk/discover/dino-directory/goyocephale.html,Goyocephale,goy-oh-keff-ah-lee,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Goyocephale.jpg,2.0m,large theropod,herbivorous,"Late Cretaceous, 81-75 million years ago",Argentina,"Dinosauria, Ornithischia, Genasauria, Cerapoda, Marginocephalia, Pachycephalosauria, Goyocephala","Perle, MaryaÅska and OsmÃ³lska (1982)",lattimorei,,,,Late Cretaceous, 81-75 million years ago
120,https://www.nhm.ac.uk/discover/dino-directory/graciliceratops.html,Graciliceratops,gras-i-li-serra-tops,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Graciliceratops.jpg,,ceratopsian,herbivorous,"Late Cretaceous, 99-84 million years ago",Argentina,"Dinosauria, Ornithischia, Genasauria, Cerapoda, Marginocephalia, Ceratopsia, Neoceratopsia",Sereno (2000),mongoliensis,,,,Late Cretaceous, 99-84 million years ago
121,https://www.nhm.ac.uk/discover/dino-directory/gryposaurus.html,Gryposaurus,grip-oh-sore-us,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Gryposaurus.jpg,10.0m,euornithopod,herbivorous,"Late Cretaceous, 86-71 million years ago",Argentina,"Dinosauria, Ornithischia, Genasauria, Cerapoda, Ornithopoda, Euornithopoda, Iguanadontia, Euiguanadontia, Dryomorpha, Ankylopollexia, Iguanodontoidea, Hadrosauridae, Euhadrosauria, Hadrosaurinae",Lambe (1914),notabilis,,,,Late Cretaceous, 86-71 million years ago
122,https://www.nhm.ac.uk/discover/dino-directory/guaibasaurus.html,Guaibasaurus,gwie-bah-sore-us,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Guaibasaurus.jpg,1.8m,small theropod,herbivorous,"Late Triassic, 221-210 million years ago",Argentina,"Dinosauria, Saurischia, Theropoda","Bonaparte, Ferigolo and Ribeiro (1999)",candelariensis,,,,Late Triassic, 221-210 million years ago
